Molecule,Form,Type,Product,Strength,2009_Sales,2010_Sales,2011_Sales,2012_Sales,2013_Sales,2014_Sales,2015_Sales
DL-LACTIC ACID,D DERMATOLOGICALS,BRANDED GENERIC,LACTINOL,10%,"$44,739 ","$2,640 ",,,,,
DL-LACTIC ACID,D DERMATOLOGICALS,OTHER,AMLACTIN XL,N/A,"$354,776 ","$677,102 ","$528,017 ","$174,976 ",,,
DL-LACTIC ACID,D DERMATOLOGICALS,OTHER,LAC-HYDRIN FIVE,5%,"$541,948 ","$1,146,829 ","$1,003,561 ","$980,000 ","$1,042,082 ","$786,629 ","$216,851 "
DL-LACTIC ACID,D DERMATOLOGICALS,OTHER,LACTINOL HX,N/A,,"$16,140 ","$12,491 ","$37,951 ","$45,189 ","$33,293 ","$9,210 "
DL-LACTIC ACID,D DERMATOLOGICALS,GENERIC,LACTIC ACID,10%,"$624,433 ","$1,105,101 ","$948,253 ","$367,153 ","$281,040 ","$239,062 ","$62,566 "
DL-LACTIC ACID,Y ALL OTHERS,GENERIC,LACTIC ACID,85%,,,,,$565 ,$893 ,$107 
DL-LACTIC ACID,Y ALL OTHERS,GENERIC,LACTIC ACID,88-92%,,,,,$234 ,$879 ,$222 
DL-LACTIC ACID!HALOBETASOL,T OTHER TOPICALS,BRAND,ULTRAVATE X,0.05-10%,,,,"$1,898,426 ","$2,588,699 ","$4,577,766 ","$1,373,547 "
DL-LACTIC ACID!PIDOLIC ACID,D DERMATOLOGICALS,OTHER,LACTICARE,N/A,$30 ,$16 ,,,,,
DL-LACTIC ACID!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,DUOFILM,17%,"$264,774 ","$353,135 ","$354,865 ","$336,172 ","$333,482 ","$349,746 ","$85,112 "
DL-LACTIC ACID!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,P & S,2-0.5%,"$20,056 ","$25,193 ","$22,292 ","$14,116 ","$18,666 ","$16,407 ","$4,267 "
DL-LACTIC ACID!SALICYLIC ACID,D DERMATOLOGICALS,OTHER,SALACTIC FILM,N/A,"$9,949 ","$42,453 ","$32,295 ","$25,145 ","$15,216 ","$9,139 ","$1,703 "
DL-LACTIC ACID!SALICYLIC ACID!UREA,D DERMATOLOGICALS,BRANDED GENERIC,KEROL,50%,"$368,818 ","$370,402 ","$203,729 ","$2,616 ",,,
DL-LACTIC ACID!UNDECYLENIC ACID!UREA,D DERMATOLOGICALS,BRANDED GENERIC,KEROL,50%,"$1,420,704 ","$917,762 ","$306,206 ","$22,580 ",,,
DL-LACTIC ACID!UNDECYLENIC ACID!UREA,D DERMATOLOGICALS,BRANDED GENERIC,KEROL AD,45%,"$730,594 ","$1,138,884 ","$219,147 ","$2,871 ",,,
DL-LACTIC ACID!UNDECYLENIC ACID!UREA,D DERMATOLOGICALS,BRANDED GENERIC,KEROL ZX,50%,"$834,075 ","$189,348 ",,,,,
DOBUTAMINE,I INJECTABLES,GENERIC,DOBUTAMINE HCL,1000MG/250ML,"$536,359 ","$1,066,742 ","$1,013,887 ","$1,162,458 ","$1,688,058 ","$1,824,323 ","$494,726 "
DOBUTAMINE,I INJECTABLES,GENERIC,DOBUTAMINE HCL,12.5MG/ML,"$819,636 ","$1,651,919 ","$1,701,347 ","$1,805,481 ","$1,388,968 ","$1,512,940 ","$567,920 "
DOBUTAMINE,I INJECTABLES,GENERIC,DOBUTAMINE HCL,250MG/20ML,$378 ,$108 ,,,,,
DOBUTAMINE,I INJECTABLES,GENERIC,DOBUTAMINE HCL,250MG/250ML,"$1,082,278 ","$2,082,517 ","$1,657,405 ","$2,053,399 ","$2,225,355 ","$2,165,814 ","$556,918 "
DOBUTAMINE,I INJECTABLES,GENERIC,DOBUTAMINE HCL,500MG/250ML,"$2,315,087 ","$4,774,332 ","$4,154,834 ","$4,773,850 ","$4,292,013 ","$5,583,499 ","$1,525,804 "
DOBUTAMINE,I INJECTABLES,GENERIC,DOBUTAMINE HCL,500MG/500ML,"$26,728 ","$23,779 ",,,,,
DOCETAXEL,I INJECTABLES,BRANDED GENERIC,DOCEFREZ,20MG,,,"$1,217,109 ","$491,382 ","$7,919 ",,
DOCETAXEL,I INJECTABLES,BRANDED GENERIC,DOCEFREZ,80MG,,,"$3,232,486 ","$2,311,245 ","$689,341 ","$243,324 ","$17,855 "
DOCETAXEL,I INJECTABLES,BRAND,TAXOTERE,20MG/0.5ML,"$148,322,144 ","$227,941,711 ","$60,971 ","$7,131 ",,,
DOCETAXEL,I INJECTABLES,BRAND,TAXOTERE,20MG/ML,,"$57,119,651 ","$85,301,305 ","$9,848,720 ","$4,643,833 ","$1,983,970 ","$321,824 "
DOCETAXEL,I INJECTABLES,BRAND,TAXOTERE,80MG/2ML,"$477,553,448 ","$734,393,012 ","$329,995 ","$81,145 ","$5,684 ",,
DOCETAXEL,I INJECTABLES,BRAND,TAXOTERE,80MG/4ML,,"$177,245,599 ","$277,430,589 ","$38,133,761 ","$18,058,912 ","$9,768,035 ","$1,334,431 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,140MG/7ML,,,,,"$320,575 ","$1,983,316 ","$121,868 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,160MG/16ML,,,"$124,083,971 ","$141,593,247 ","$85,541,107 ","$54,271,279 ","$12,965,998 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,160MG/8ML,,,,"$4,482,281 ","$3,960,843 ","$7,501,829 ","$2,571,952 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,200MG/20ML,,,,,,,"$1,318 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,20MG/0.5ML,,,"$8,758,902 ","$10,179,336 ",,,
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,20MG/2ML,,,"$52,394,929 ","$29,374,465 ","$13,813,969 ","$7,001,943 ","$1,189,976 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,20MG/ML,,,"$41,253,678 ","$26,677,826 ","$21,723,632 ","$12,480,776 ","$2,925,781 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,80MG/2ML,,,"$17,968,267 ","$21,264,045 ","$5,384 ",$535 ,
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,80MG/4ML,,,"$129,119,311 ","$96,692,857 ","$78,066,391 ","$50,098,007 ","$11,114,296 "
DOCETAXEL,I INJECTABLES,GENERIC,DOCETAXEL,80MG/8ML,,,"$178,273,824 ","$143,105,894 ","$86,060,062 ","$52,246,531 ","$10,234,002 "
DOCOSAHEXANOIC  ACID,O ORALS,OTHER,DHA,100MG,,,"$3,127 ","$11,271 ","$10,498 ","$12,100 ","$3,273 "
DOCOSAHEXANOIC  ACID,O ORALS,OTHER,DHA,200MG,,"$135,609 ","$183,274 ",,,,
DOCOSAHEXANOIC  ACID,O ORALS,OTHER,EXPECTA LIPIL,200MG,"$1,116,644 ","$2,231,971 ","$856,254 ","$739,916 ","$543,777 ","$24,036 ",
DOCOSAHEXANOIC  ACID!DOCUSATE!EICOSAPENTANOIC ACID!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,ULTIMATECARE ONE NF,27-1-50-350-100MG,"$101,854 ","$91,706 ","$151,478 ","$126,384 ","$101,920 ","$72,656 ","$26,511 "
DOCOSAHEXANOIC  ACID!DOCUSATE!EICOSAPENTANOIC ACID!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,ULTIMATECARE,30-1-50-260-40MG,"$44,659 ","$66,520 ","$8,936 ",,,,
DOCOSAHEXANOIC  ACID!DOCUSATE!EICOSAPENTANOIC ACID!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,ULTIMATECARE ADVAN,30-1-50-400-175MG,"$29,571 ","$49,442 ","$5,699 ",,,,
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,CITRANATAL HARMONY,27-1-50-250MG,,"$1,938,954 ","$1,254,481 ",$570 ,,,
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,CITRANATAL HARMONY,27-1-50-260MG,,,,,,"$2,326,811 ","$859,524 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,FOLCAL DHA,30-1.2-55-265MG,,"$864,933 ","$2,053,910 ","$582,992 ","$348,341 ","$76,841 ",
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,FOLIVANE-PRX DHA NF,30-1.2-55-265MG,,"$375,868 ","$359,944 ","$131,012 ","$92,006 ","$76,401 ","$15,657 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,PRENEXA,27-1.25-55-265MG,,"$5,163,294 ","$8,618,724 ","$3,678,221 ","$2,150,513 ","$1,563 ",
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,PRENEXA,30-1.2-55-265MG,"$6,548,908 ","$3,968,153 ","$12,467 ","$4,047 ","$1,146 ",,
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,PRIMACARE ONE,27-350-1-50MG,"$2,601 ",,,,,,
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,TARON-PREX,30-1.2-55-265MG,"$235,543 ","$1,033,400 ","$608,442 ","$391,062 ","$293,030 ","$219,970 ","$53,291 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,TL-SELECT,29-1.25-55MG,,,"$320,820 ","$466,091 ","$253,739 ","$65,348 ","$1,188 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,O ORALS,BRANDED GENERIC,TRICARE DHA ONE,27-1-215-25MG,,"$148,717 ","$621,600 ","$704,933 ","$377,106 ","$245,657 ","$47,669 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,CITRANATAL ASSURE,35-1-50-300MG,"$7,906,693 ","$17,899,175 ","$20,734,877 ","$21,517,244 ","$16,802,676 ","$13,702,475 ","$3,018,569 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,FOLTABS PRENAT/DHA,27-1-50MG,"$1,091,804 ","$841,739 ",$132 ,,,,
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,NATALVIRT CA,35-1-50MG,,,,,"$1,789,331 ","$1,208,434 ","$122,451 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,OBTREX DHA,29-1-50MG,"$165,301 ","$324,284 ","$273,011 ","$372,977 ","$279,052 ","$114,342 ","$21,522 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS!PYRIDOXINE,O ORALS,BRANDED GENERIC,EXTRA-VIRT PLUS DHA,29-1.25-55MG,,,,,"$324,854 ","$74,468 ","$26,934 "
DOCOSAHEXANOIC  ACID!DOCUSATE!FOLIC ACID!IRON  FERROUS!MULTIVITAMINS & MINERALS!PYRIDOXINE,O ORALS,BRANDED GENERIC,TL-SELECT DHA,29-1.25-55MG,,,,,"$33,716 ","$18,620 ",
DOCOSAHEXANOIC  ACID!DOXYCYCLINE!EICOSAPENTANOIC ACID!NON THERAPEUTIC INGREDIENT!VITAMIN E,S OTHER SYSTEMICS,BRANDED GENERIC,NUTRIDOX,75MG,"$91,244 ","$37,060 ",$277 ,,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,BRANDED GENERIC,LIPICHOL 540,150-52.5MG,,,,,"$5,930 ",$72 ,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,BRANDED GENERIC,LOVAZA,1GM,"$404,716,084 ","$984,494,507 ","$1,067,438,591 ","$1,068,180,396 ","$1,079,454,647 ","$584,166,722 ","$37,172,644 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,BRANDED GENERIC,VASCAZEN,900-110MG,,,,"$17,597 ","$95,020 ","$121,480 ","$18,144 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,ALPHA BETIC OMEGA-3,N/A,"$240,496 ","$460,509 ","$64,733 ","$1,863 ","$58,197 ","$32,161 ",
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,CARDIOSTAT,1000MG,"$1,127,217 ","$273,785 ","$18,727 ",,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,COROMEGA PRENATAL,230-710MG,$86 ,$144 ,$16 ,,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1000-300MG,"$2,881,525 ","$5,867,467 ","$8,850,244 ","$10,396,301 ","$10,867,526 ","$11,245,445 ","$2,792,065 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1000-340MG,,,,,"$2,040 ","$45,186 ","$14,264 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1000MG,"$4,895,052 ","$9,118,632 ","$8,229,298 ","$5,781,834 ","$5,554,724 ","$5,123,113 ","$918,386 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1200-360MG,,,"$85,946 ","$1,104,573 ","$2,771,167 ","$7,520,276 ","$2,269,551 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1200-396MG,"$962,989 ","$1,295,797 ","$983,521 ","$953,761 ","$2,018,392 ","$3,065,052 ","$1,204,907 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1200MG,"$1,315,513 ","$2,778,289 ","$2,848,822 ","$2,833,061 ","$2,741,387 ","$3,290,198 ","$792,883 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,1360MG,"$24,054 ","$1,171,107 ","$841,048 ","$772,696 ","$379,685 ","$338,353 ","$74,864 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,360-1200MG,,,,,"$2,937,954 ","$4,708,498 ","$1,298,535 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,500MG,"$45,190 ","$99,130 ","$100,873 ","$111,671 ","$114,876 ","$112,778 ","$30,612 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,645-450MG,,,,,"$245,404 ","$208,027 ","$30,964 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL,N/A,"$31,783 ","$12,922 ",,,"$531,889 ","$792,672 ","$196,243 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,1000MG,"$2,472,397 ","$3,423,721 ","$3,908,866 ","$3,974,125 ","$3,293,140 ","$2,848,605 ","$792,846 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,1200-144MG,"$61,851 ","$198,955 ","$86,053 ",$225 ,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,1200-360MG,"$142,946 ","$382,426 ","$324,959 ","$14,351 ","$49,506 ","$52,697 ","$12,079 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,1200MG,"$1,484,132 ","$3,943,827 ","$4,517,729 ","$1,669,235 ",,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,120-180MG,"$409,942 ","$784,011 ","$577,180 ","$370,538 ","$265,276 ","$270,805 ","$35,582 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,1400MG,,,,,,"$314,505 ","$225,372 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,150-400MG,,,,,"$133,430 ","$127,359 ",
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,180-400MG,,,,,"$86,967 ","$596,195 ","$57,091 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,300-1000MG,,,,"$1,012,476 ","$3,386,932 ","$2,965,816 ","$739,595 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,300-400MG,,,,,"$46,478 ","$238,959 ","$54,703 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,600MG,,,,,,"$402,273 ","$214,831 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL CONC,STR UNSP,"$4,464,922 ","$3,033,932 ","$2,608,753 ","$2,708,552 ","$2,800,130 ","$2,362,371 ","$574,638 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,FISH OIL ULTRA,1000MG,,,$554 ,$412 ,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,LIL CRITTERS OMEGA-3,60MG,"$146,909 ","$398,220 ","$219,450 ","$2,282 ",,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,MAXEPA,1000MG,"$6,323 ","$14,618 ","$15,593 ","$4,600 ",$229 ,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,MEGARED KRILL OIL,300MG,"$4,927,037 ","$12,836,194 ","$15,666,897 ","$17,171,062 ","$14,234,727 ","$9,859,535 ","$2,068,383 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,MEGARED PLANT OMEGA,300MG,,,,,,"$1,303 ","$1,070 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,MINI FISH OIL,645-450MG,,,,,"$318,113 ","$1,040,574 ","$357,688 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,NM FISH OIL,1200MG,"$3,870,653 ","$12,070,614 ","$6,943,555 ","$5,644,401 ","$4,558,805 ","$5,498,227 ","$1,826,480 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,NM FISH OIL,500MG,"$2,279,856 ","$6,043,619 ","$3,048,456 ","$2,573,440 ","$2,037,383 ","$1,882,993 ","$565,151 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA 3,N/A,"$685,627 ","$510,737 ","$12,114 ","$9,653 ","$2,697 ",,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA 3 EPA/DHA,300MG,,,,,"$337,340 ","$100,760 ","$12,981 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA 3 FISH OIL,1000-300MG,"$5,701 ","$8,327 ","$9,190 ","$6,928 ","$4,978 ","$8,256 ","$2,450 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA 3-6-9,N/A,"$13,170 ","$33,419 ","$41,559 ","$5,825 ",,"$13,429 ","$3,451 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA POWER,1050MG,,,,,"$1,175,639 ","$228,145 ",$593 
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA SMART MD,633MG,"$46,332 ",,,,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3,1000MG,"$39,653 ","$77,049 ","$55,218 ","$47,191 ","$50,848 ","$63,873 ","$13,000 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3,1200-360MG,"$4,752 ","$10,262 ","$12,019 ","$21,668 ","$25,791 ","$19,925 ","$4,829 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3,350MG,,,,,,"$8,241 ","$96,585 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3,50MG,,,,,"$128,926 ","$923,606 ","$246,119 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3,880-440MG,$918 ,"$3,922 ","$7,531 ","$8,341 ","$11,218 ","$11,338 ","$2,201 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3,N/A,"$169,916 ","$361,358 ","$20,511 ",,,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3 2100,1050MG,,,,,"$2,278 ","$15,674 ","$5,739 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3 COMPLEX,400MG,"$905,240 ","$1,338,285 ","$428,171 ","$86,901 ",$224 ,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3 FISH OIL,1200MG,"$3,189 ","$4,216 ","$3,574 ","$3,386 ",$137 ,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3 FISH OIL,910-1400MG,,,,,,,$16 
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3 FISH OIL,N/A,"$8,237,832 ","$11,095,512 ","$11,254,938 ","$4,192,235 ","$2,807,945 ","$2,098,987 ","$736,848 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGA-3 IQ,240MG,,,,,,$184 ,$602 
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,OMEGAMINT,N/A,"$68,894 ","$137,736 ","$252,988 ","$224,158 ","$16,204 ","$10,240 ","$2,294 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,PN OMEGA COMPLEX,N/A,"$56,797 ","$184,213 ","$86,656 ","$2,666 ",,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,RESTORA,120-400MG,,"$87,606 ","$420,085 ","$563,916 ","$404,400 ","$311,822 ","$75,396 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,SALMON OIL,1000MG,,,,,,$938 ,"$1,325 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,SALMON OIL-1000,1000-200MG,"$4,594 ","$11,982 ","$13,531 ","$16,026 ","$14,258 ","$16,058 ","$6,947 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,SEA-OMEGA,500MG,"$3,814 ","$7,801 ","$5,284 ","$7,968 ","$105,042 ","$71,563 ","$14,732 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,SUPER OMEGA-3,1000MG,"$6,281 ","$11,056 ","$8,456 ","$8,807 ","$5,824 ","$5,656 ","$2,062 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,TRIPLE OMEGA,N/A,"$782,647 ","$1,084,171 ","$988,516 ","$288,203 ","$110,015 ","$4,565 ","$1,172 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,TRIPLE OMEGA 3-6-9,N/A,"$537,024 ","$1,758,624 ","$2,133,164 ","$3,012,887 ","$3,203,039 ","$4,109,504 ","$1,362,178 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,TRIPLE OMEGA CMPLX,400-400MG,,,,,,$21 ,$65 
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,OTHER,TRIPLE OMEGA CMPLX,N/A,,,,,,,$27 
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID,O ORALS,GENERIC,OMEGA-3 ACID ETHYL,1GM,,,,,,"$331,083,371 ","$149,601,115 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!ERGOCALCIFEROL,O ORALS,OTHER,OMEGA-3 FISH OIL/VIT D,300-1000MG,,"$8,587 ","$14,379 ","$15,063 ","$15,879 ","$13,414 ","$1,285 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!EUPHAUSIA SUPERBA,O ORALS,OTHER,OMEGA-3 KRILL OIL,500-115MG,,,,,,"$70,065 ","$597,792 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!FISH,O ORALS,OTHER,FISH OIL,1000MG,,"$10,281 ","$581,317 ","$517,626 ","$461,030 ","$278,376 ","$96,109 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!LUTEIN,O ORALS,OTHER,LUTEIN/ZXTN/OMEGA3,2.5-0.5-250MG,,,,,"$926,942 ","$1,569,500 ","$298,191 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!LUTEIN!ZEAXANTHIN,O ORALS,BRANDED GENERIC,FOVEX,800-10-2MG,,"$6,944 ","$24,657 ","$14,551 ",,,
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!MULTIVITAMINS & MINERALS,S OTHER SYSTEMICS,BRANDED GENERIC,FOLET DHA,N/A,,,,,,"$2,357 ","$15,441 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!PHYTOSTEROLS!VITAMIN E,O ORALS,BRANDED GENERIC,VAYACOG,100-19.5MG,,,"$38,187 ","$301,779 ","$771,328 ","$1,131,840 ","$338,466 "
DOCOSAHEXANOIC  ACID!EICOSAPENTANOIC ACID!PHYTOSTEROLS!VITAMIN E,O ORALS,BRANDED GENERIC,VAYARIN,75-8.5MG,,,"$54,053 ","$794,231 ","$2,169,742 ","$3,706,196 ","$1,119,768 "
